epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1381.4,0.76992,0.39075,0.88906,0.92399,0.84743,0.88567,0.48475,1.60606,0.80044,1.2985,0.001208,0.001208,0.001208
82,1396.51,0.7655,0.38825,0.87767,0.95044,0.85621,0.91308,0.49291,1.62215,0.73904,1.30333,0.0011981,0.0011981,0.0011981
83,1411.57,0.77648,0.38265,0.88794,0.92337,0.86632,0.91025,0.49666,1.5894,0.71234,1.3068,0.0011882,0.0011882,0.0011882
84,1427.84,0.7667,0.38159,0.88006,0.92122,0.84067,0.88901,0.4752,1.63738,0.8342,1.30817,0.0011783,0.0011783,0.0011783
85,1443.03,0.78352,0.38946,0.88388,0.92442,0.85271,0.89702,0.48917,1.61431,0.82636,1.29884,0.0011684,0.0011684,0.0011684
86,1458.41,0.78082,0.39304,0.88864,0.92793,0.83007,0.88577,0.46948,1.63301,0.86235,1.31201,0.0011585,0.0011585,0.0011585
87,1473.89,0.7732,0.38724,0.8838,0.93977,0.8366,0.88473,0.4642,1.63641,0.85366,1.33275,0.0011486,0.0011486,0.0011486
88,1489.42,0.79464,0.39272,0.89568,0.90705,0.84314,0.87407,0.46708,1.67806,0.83588,1.32927,0.0011387,0.0011387,0.0011387
89,1506.13,0.79646,0.39219,0.88887,0.92839,0.84738,0.884,0.47716,1.62829,0.85062,1.29925,0.0011288,0.0011288,0.0011288
90,1521.75,0.80555,0.39718,0.88736,0.92312,0.86326,0.88268,0.46519,1.63377,0.84094,1.3212,0.0011189,0.0011189,0.0011189
91,1537.13,0.79081,0.39897,0.89022,0.9191,0.86275,0.89822,0.47379,1.63564,0.83059,1.33165,0.001109,0.001109,0.001109
92,1552.62,0.78506,0.38946,0.88061,0.94665,0.85053,0.89484,0.48809,1.61499,0.7929,1.30552,0.0010991,0.0010991,0.0010991
93,1568.17,0.77672,0.38414,0.87981,0.96366,0.84096,0.90373,0.49947,1.59528,0.79826,1.28662,0.0010892,0.0010892,0.0010892
94,1583.46,0.76897,0.38628,0.88042,0.94298,0.86466,0.91066,0.48697,1.6284,0.7668,1.31219,0.0010793,0.0010793,0.0010793
95,1599.57,0.76254,0.38224,0.88028,0.94841,0.84099,0.90347,0.46616,1.67507,0.80607,1.32831,0.0010694,0.0010694,0.0010694
96,1614.84,0.76289,0.38094,0.88388,0.91953,0.88235,0.90371,0.47498,1.66706,0.81117,1.32708,0.0010595,0.0010595,0.0010595
97,1630.43,0.75001,0.37227,0.87553,0.90871,0.878,0.89444,0.47572,1.65195,0.83364,1.32444,0.0010496,0.0010496,0.0010496
98,1649.7,0.74121,0.37044,0.8725,0.9323,0.87003,0.894,0.47349,1.63681,0.82146,1.33225,0.0010397,0.0010397,0.0010397
99,1664.51,0.73163,0.37233,0.86619,0.91741,0.84096,0.8832,0.48068,1.61896,0.7987,1.30355,0.0010298,0.0010298,0.0010298
100,1684.83,0.7326,0.36549,0.87074,0.9177,0.83224,0.86762,0.47218,1.61353,0.79995,1.31646,0.0010199,0.0010199,0.0010199
101,1700.36,0.70809,0.36287,0.86593,0.93953,0.84532,0.90006,0.48154,1.60823,0.82857,1.28824,0.00101,0.00101,0.00101
102,1715.54,0.71634,0.36431,0.86168,0.91302,0.86275,0.89792,0.4922,1.5998,0.74844,1.2987,0.0010001,0.0010001,0.0010001
103,1730.97,0.72712,0.36363,0.86659,0.94282,0.8366,0.88423,0.48132,1.604,0.8322,1.29637,0.0009902,0.0009902,0.0009902
104,1746.76,0.70936,0.36017,0.85993,0.93838,0.84096,0.89621,0.48589,1.59037,0.81356,1.28759,0.0009803,0.0009803,0.0009803
105,1764.2,0.71778,0.36357,0.86923,0.93297,0.8491,0.88279,0.49315,1.59318,0.81021,1.28781,0.0009704,0.0009704,0.0009704
106,1780.6,0.71528,0.366,0.86846,0.91802,0.87827,0.90171,0.48782,1.61959,0.79792,1.33236,0.0009605,0.0009605,0.0009605
107,1796.26,0.68391,0.35356,0.85848,0.94653,0.86492,0.90066,0.48356,1.6148,0.80762,1.32426,0.0009506,0.0009506,0.0009506
108,1817.59,0.68865,0.36046,0.85726,0.94847,0.84208,0.9111,0.48421,1.62513,0.79567,1.31362,0.0009407,0.0009407,0.0009407
109,1838.47,0.66733,0.35245,0.85597,0.95786,0.83442,0.89571,0.48152,1.58583,0.81573,1.30097,0.0009308,0.0009308,0.0009308
110,1860.43,0.65555,0.34696,0.84719,0.90996,0.85873,0.88367,0.48449,1.6118,0.79595,1.32326,0.0009209,0.0009209,0.0009209
111,1874.16,0.65737,0.3435,0.84737,0.95725,0.82571,0.8953,0.48838,1.60786,0.80124,1.31674,0.000911,0.000911,0.000911
112,1889.79,0.66701,0.34417,0.85035,0.9515,0.85482,0.90386,0.48671,1.59452,0.76818,1.30545,0.0009011,0.0009011,0.0009011
113,1905.43,0.65899,0.33978,0.84651,0.93238,0.85621,0.89292,0.49376,1.59288,0.8077,1.31396,0.0008912,0.0008912,0.0008912
114,1921.52,0.66513,0.33984,0.84931,0.95802,0.84527,0.8908,0.48954,1.58514,0.78121,1.30129,0.0008813,0.0008813,0.0008813
115,1937.04,0.64439,0.33598,0.84354,0.92795,0.86981,0.90034,0.49207,1.57544,0.77091,1.29516,0.0008714,0.0008714,0.0008714
116,1952.77,0.65317,0.33937,0.84891,0.94338,0.86275,0.89837,0.49893,1.57598,0.75996,1.29393,0.0008615,0.0008615,0.0008615
117,1968.27,0.65774,0.33782,0.84755,0.92281,0.87146,0.90722,0.48196,1.60786,0.79163,1.31118,0.0008516,0.0008516,0.0008516
118,1984.28,0.64436,0.33456,0.84485,0.9467,0.85136,0.90447,0.48386,1.62541,0.7771,1.32291,0.0008417,0.0008417,0.0008417
119,1999.76,0.66809,0.34282,0.84793,0.94099,0.8061,0.89218,0.4845,1.61967,0.78342,1.33096,0.0008318,0.0008318,0.0008318
120,2015.03,0.65981,0.33961,0.85091,0.95061,0.84532,0.90488,0.47911,1.61089,0.79815,1.31332,0.0008219,0.0008219,0.0008219
